Tópico,Docs,Palavras-chave (c-TF-IDF)
T0,1112,"snapchat, deleting, platforms, deleting social, deleted instagram, deactivated, ai, deactivate"
T1,985,"panic, attack, health anxiety, cancer, panic attack, heart, attacks, panic attacks"
T2,879,"deleted tiktok, delete tiktok, deleting tiktok, tiktok addiction, deleting, downloaded, algorithm, quit tiktok"
T3,603,"diagnosis, appointment, psychiatrist, doctor, diagnose, tested, think adhd, assessment"
T4,497,"procrastination, procrastinating, exam, exams, assignments, procrastinate, pomodoro, stop procrastinating"
T5,490,"adderall, vyvanse, meds, medication, dose, ritalin, mg, prescribed"
T6,489,"asleep, insomnia, fall asleep, melatonin, awake, sleep schedule, nights, falling asleep"
T7,482,"screen time, phone addiction, notifications, addicted phone, reduce, phones, use phone, reduce screen"
T8,419,"dopamine detox, detox, reset, baseline, detoxing, reward, pleasure, dopamine addiction"
T9,380,"die, suicide, suicidal, want die, alive, burden, pathetic, ugly"
T10,326,"boyfriend, ex, hed, girlfriend, sent, cheated, hes just, dating"
T11,322,"critic, ocd, sexual, hate comments, attracted, pedophile, attraction, children"
T12,321,"community college, jobs, financial, exams, debt, program, classes, aid"
T13,303,"gen, generation, born, alpha, gen alpha, 2010s, 2000s, generations"
T14,275,"executive dysfunction, executive, dysfunction, cleaning, laundry, task, clothes, dishes"
T15,274,"friend group, friendship, invited, make friends, loneliness, new friends, best friend, feel lonely"
T16,265,"weed, sober, alcohol, smoking, addictions, porn, smoke, vaping"
T17,257,"yt, youtube addiction, disable, recommendations, extension, youtube phone, youtube app, block youtube"
T18,212,"discipline, consistency, disciplined, good habits, consistent, stay consistent, laziness, realistic"
T19,205,"attention span, short attention, fix attention, articles, spikes, able read, struggle read, method"
T20,204,"shes, ex, girlfriend, breakup, gf, shed, sent, date"
T21,185,"stop doomscrolling, stop doom, stop scrolling, chaos, doomscroll, step away, scrolling addiction, screen time"
T22,182,"brain fog, fog, brain rot, dumber, forgetting, cigs, cognitive, good like"
T23,179,"ugly, height, attractive, mirror, look like, appearance, fat, im ugly"
T24,155,"quirky, diagnosis, disorder, disability, saying adhd, people adhd, having adhd, monkey"
